[CSV] C:\Users\MASL\Desktop\ir data(get)\시나리오\회대 시나리오 밝음.csv
[결과 폴더] C:\Users\MASL\Desktop\코드개선\3차 수동\predict_results\회대_20260329_232149
[바닥] 회대
[baseline] 819.522
전체 window 수: 115
바닥: 7개 (6.1%)
액체: 108개 (93.9%)

[상세 window]
[001]    0-  15 | final=  바닥 | state=      FLOOR | pL= 90.5 | pF=  9.5 | anch_ofs= 33.01/327.80 | chg= 33.01 | grad=163.90 | edge=0.20 | anchor=819.52
[104]  515- 530 | final=  액체 | state=LIQUID_HOLD | pL= 71.0 | pF= 29.0 | anch_ofs= 70.05/ 70.84 | chg= 73.09 | grad= 0.24 | edge=0.00 | anchor=822.56
[105]  520- 535 | final=  액체 | state=LIQUID_HOLD | pL= 59.0 | pF= 41.0 | anch_ofs= 69.86/ 70.48 | chg= 72.90 | grad= 0.24 | edge=0.00 | anchor=822.56
[106]  525- 540 | final=  액체 | state=LIQUID_HOLD | pL= 76.8 | pF= 23.2 | anch_ofs= 68.09/ 70.48 | chg= 71.13 | grad= 6.40 | edge=0.27 | anchor=822.56
[107]  530- 545 | final=  액체 | state=LIQUID_HOLD | pL= 76.0 | pF= 24.0 | anch_ofs= 56.85/ 70.48 | chg= 59.89 | grad= 7.62 | edge=0.60 | anchor=822.56
[108]  535- 550 | final=  액체 | state=LIQUID_HOLD | pL= 69.9 | pF= 30.1 | anch_ofs= 42.11/ 70.44 | chg= 45.15 | grad= 7.62 | edge=0.67 | anchor=822.56
[109]  540- 555 | final=  액체 | state=LIQUID_HOLD | pL= 59.5 | pF= 40.5 | anch_ofs= 29.38/ 47.60 | chg= 32.42 | grad= 7.40 | edge=0.33 | anchor=822.56
[110]  545- 560 | final=  액체 | state=LIQUID_HOLD | pL= 73.6 | pF= 26.4 | anch_ofs= 26.37/ 26.84 | chg= 29.41 | grad= 0.36 | edge=0.00 | anchor=822.56
[111]  550- 565 | final=  액체 | state=LIQUID_HOLD | pL= 85.4 | pF= 14.6 | anch_ofs= 26.39/ 26.84 | chg= 29.42 | grad= 0.60 | edge=0.00 | anchor=822.56
[112]  555- 570 | final=  액체 | state=LIQUID_HOLD | pL= 77.4 | pF= 22.6 | anch_ofs= 25.49/ 26.84 | chg= 28.53 | grad= 0.58 | edge=0.00 | anchor=822.56
[113]  560- 575 | final=  액체 | state=LIQUID_HOLD | pL= 66.7 | pF= 33.3 | anch_ofs= 24.44/ 26.84 | chg= 27.47 | grad= 0.58 | edge=0.00 | anchor=822.56
[114]  565- 580 | final=  액체 | state=LIQUID_HOLD | pL= 64.9 | pF= 35.1 | anch_ofs= 23.55/ 24.36 | chg= 26.58 | grad= 0.40 | edge=0.00 | anchor=822.56
[115]  570- 585 | final=  액체 | state=LIQUID_HOLD | pL= 71.5 | pF= 28.5 | anch_ofs= 23.40/ 23.60 | chg= 26.44 | grad= 0.12 | edge=0.00 | anchor=822.56
